[18/06/2016 11:17:56] /a 3
[18/06/2016 11:18:29] /i 2160
[18/06/2016 11:50:42] /m venusaur
[18/06/2016 11:50:43] /m venusaur
[18/06/2016 11:50:43] /m venusaur
[18/06/2016 11:50:43] /m venusaur
[18/06/2016 11:50:43] /m venusaur
[18/06/2016 11:50:43] /m venusaur
[18/06/2016 11:50:43] /m venusaur
[18/06/2016 11:50:43] /m venusaur
[18/06/2016 11:50:44] /m venusaur
[18/06/2016 11:50:44] /m venusaur
[18/06/2016 11:50:44] /m venusaur
[18/06/2016 11:50:44] /m venusaur
[18/06/2016 11:50:44] /m venusaur
[18/06/2016 11:50:44] /m venusaur
[18/06/2016 11:50:44] /m venusaur
[18/06/2016 11:50:44] /m venusaur
[18/06/2016 11:50:44] /m venusaur
[18/06/2016 11:50:44] /m venusaur
[18/06/2016 11:50:44] /m venusaur
[18/06/2016 11:51:46] /m venusaur
[18/06/2016 11:51:46] /m venusaur
[18/06/2016 11:51:47] /m venusaur
[18/06/2016 11:51:47] /m venusaur
[18/06/2016 11:51:47] /m venusaur
[18/06/2016 11:51:48] /m venusaur
[18/06/2016 11:53:14] /i pokebag
[18/06/2016 11:53:18] /i poke bag
[18/06/2016 11:53:24] /i poke backpack
[18/06/2016 11:53:55] /i 1987
[18/06/2016 11:54:50] /i 12681
[18/06/2016 12:00:28] /m venusaur
[18/06/2016 12:00:29] /m venusaur
[18/06/2016 12:00:29] /m venusaur
[18/06/2016 12:00:29] /m venusaur
[18/06/2016 12:00:29] /m venusaur
[18/06/2016 12:00:29] /m venusaur
[18/06/2016 12:00:29] /m venusaur
[18/06/2016 12:00:29] /m venusaur
[18/06/2016 12:00:29] /m venusaur
[18/06/2016 12:00:29] /m venusaur
[18/06/2016 12:00:29] /m venusaur
[18/06/2016 12:00:29] /m venusaur
[18/06/2016 12:00:29] /m venusaur
[18/06/2016 12:00:29] /m venusaur
[18/06/2016 12:00:29] /m venusaur
[18/06/2016 12:00:29] /m venusaur
[18/06/2016 12:00:29] /m venusaur
[18/06/2016 12:00:29] /m venusaur
[18/06/2016 12:00:30] /m venusaur
[18/06/2016 12:00:30] /m venusaur
[18/06/2016 12:00:30] /m venusaur
[18/06/2016 12:00:30] /m venusaur
[18/06/2016 12:00:30] /m venusaur
[18/06/2016 12:00:30] /m venusaur
[18/06/2016 12:00:30] /m venusaur
[18/06/2016 12:00:30] /m venusaur
[18/06/2016 12:00:30] /m venusaur
